309644006,Black Guyana
312859007,Vietnamese
312860002,Ethnic group not given - patient refused
312861003,Ethnic group not recorded
315236000,White British
315237009,White Irish
315238004,Other white ethnic group
315239007,Mixed ethnic census group
315240009,Black - ethnic group
315279003,Other black ethnic group
315280000,Asian - ethnic group
315281001,Other Asian ethnic group
315282008,Other ethnic group
315283003,Irish traveller
315634007,Black Caribbean and White
315635008,Black African and White
31637002,Italians
32045009,Georgians
32513008,Dyaks
32873005,Bloods
33182009,Trukese
3353005,Pueblo
33897005,Chinese
34334001,New Caledonians
35007000,Utes
354441000000105,Ethnicity - National Public Health Classification
36329002,Slovak
364699009,Ethnic group
365455004,Ethnic groups (1991 census) (United Kingdom)
365456003,Finding of ethnicity / related nationality data
367505005,Caucasian (living organism)
3698008,Micronesians
372148003,Ethnic group
37474002,Ghanaians
37843006,Fulani
38144004,Athabascans
3818007,Senegalese
38361009,Koreans
38750003,Bororo
39007007,Black Jews
393199009,Gypsies
394149000,Gypsies
394635008,Gypsies
397607002,"Perioperative plan of care consistent with patient value system, lifestyle, ethnicity, and culture"
39764005,Bantu
397731000,Ethnic group finding
398089004,Ethnic background
401213008,White Scottish
401214002,Other white British ethnic group
40165009,Buriats
40182006,Gypsies
4073004,Palauans
41076003,Mozambiquans
41121000000107,Other white British ethnic group
413465009,Afro-Caribbean
413466005,Afro-Caucasian
413569000,Arab
414152003,European
414551003,Japanese
414661004,Melanesian
414978006,Oriental
