Code,Ethnicity
110771000000104,Black and White - ethnic category 2001 census
154175007,"Black - other, mixed"
154176008,Other Black - Black/White orig
154177004,Other Black - Black/Asian orig
154196000,"Other ethnic, mixed origin"
154197009,"Other ethnic, Black/White orig"
154198004,"Other ethnic, Asian/White orig"
154199007,"Other ethnic, mixed white orig"
154200005,"Other ethnic, other mixed orig"
154201009,Black Caribbean and White
154202002,Black African and White
185998001,"Black - other, mixed"
185999009,Other Black - Black/White orig
186000006,Other Black - Black/Asian orig
186019001,"Other ethnic, mixed origin"
186020007,"Other ethnic, Black/White origin"
186021006,"Other ethnic, Asian/White origin"
186022004,"Other ethnic, mixed white origin"
186023009,"Other ethnic, other mixed origin"
186024003,Black Caribbean and White
186025002,Black African and White
315239007,Mixed ethnic census group
315634007,Black Caribbean and White
315635008,Black African and White
413466005,Afro-Caucasian
92421000000102,White and Black Caribbean - ethnic category 2001 census
92431000000100,White and Black African - ethnic category 2001 census
92441000000109,White and Asian - ethnic category 2001 census
92451000000107,Other Mixed background - ethnic category 2001 census
92581000000100,Black and Asian - ethnic category 2001 census
92591000000103,Black and Chinese - ethnic category 2001 census
92601000000109,Chinese and White - ethnic category 2001 census
92611000000106,Asian and Chinese - ethnic category 2001 census
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census
92631000000103,Mixed Asian - ethnic category 2001 census
92721000000106,Mixed Black - ethnic category 2001 census
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census
976751000000104,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census
976761000000101,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census
976771000000108,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census
976781000000105,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census
977391000000108,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census
977401000000106,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census
977411000000108,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census
977421000000102,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census
977441000000109,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census
977551000000106,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census
977561000000109,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census
978051000000102,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census
978061000000104,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census
414752008,Mixed racial group (racial group)
