snomedcode,Ethnicity,group
10292001,Guamians,1
108342005,South Asian AND/OR Australian aborigine,1
113170005,Aymara,1
113171009,Coushatta,1
13233008,Flathead,1
154182006,Other ethnic non-mixed (NMO),1
154183001,Brit. ethnic minor. spec.(NMO),1
154184007,Brit. ethnic minor. unsp (NMO),1
154186009,N African Arab &/or Iranian (NMO),1
154195001,Other ethnic NEC (NMO),1
154203007,Vietnamese,1
154209006,Other ethnic group,1
154212009,New Zealand ethnic groups,1
154215006,New Zealand Maori,1
154216007,Samoan,1
154217003,Cook Island Maori,1
154218008,Tongan,1
154219000,Niuean,1
154220006,Tokelauan,1
154221005,Fijian,1
154222003,Other Pacific ethnic group,1
154227009,Other New Zealand ethnic group,1
154229007,New Zealand ethnic group NOS,1
15801006,Kapingas,1
17789004,Papuans,1
18575005,Oceanian,1
186005001,Other ethnic non-mixed (NMO),1
186006000,British ethnic minority specified (NMO),1
186007009,British ethnic minority unspecified (NMO),1
186009007,N African Arab &/or Iranian (NMO),1
186018009,Other ethnic NEC (NMO),1
186026001,Vietnamese,1
186032006,Other ethnic group,1
186035008,New Zealand ethnic groups,1
186037000,Other European in New Zealand,1
186039002,New Zealand Maori,1
186040000,Cook Island Maori,1
186041001,Niuean,1
186042008,Tokelauan,1
186043003,Other Pacific ethnic group,1
186047002,Other New Zealand ethnic group,1
186048007,New Zealand ethnic group NOS,1
18664001,Xavante,1
19085009,Saipanese,1
20140003,Hawaiians,1
20291009,Lacandon,1
21047009,Aleuts,1
22007004,Shoshone,1
23517005,Polynesians,1
23534002,Melanesians,1
25750005,Admiralty Islanders,1
270464009,N African Arab/Iranian (NMO),1
27301002,Paez,1
275594002,North African Arab (NMO),1
275595001,Iranian (NMO),1
27700004,Iraqi,1
28821007,Easter Islanders,1
296841000000102,Yemeni,1
312859007,Vietnamese,1
315282008,Other ethnic group,1
