snomedcode,Ethnicity,Grouping_16,Grouping_6
10008004,Ewe,13,4
10117001,Finns,3,1
1024701000000100,Ethnicity not stated,0,0
10292001,Guamians,16,5
1036211000000103,Slovak Roma,3,1
1036251000000104,Czech Roma,3,1
1036281000000105,Hungarian Roma,3,1
1036301000000106,Polish Roma,3,1
1036321000000102,Romanian Roma,3,1
1036341000000109,Roma,3,1
1036361000000105,Bulgarian Roma,3,1
10432001,Onge,11,3
107691000000105,Caribbean - ethnic category 2001 census,12,4
108342005,South Asian AND/OR Australian aborigine,16,5
110401000000103,Turkish - ethnic category 2001 census,3,1
110751000000108,Indian or British Indian - ethnic category 2001 census,8,3
110761000000106,English - ethnic category 2001 census,1,1
110771000000104,Black and White - ethnic category 2001 census,7,2
110781000000102,Sinhalese - ethnic category 2001 census,11,3
110791000000100,Black British - ethnic category 2001 census,14,4
110831000000107,Hindu - ethnic category 2001 census,0,0
113169009,Armenians,3,1
113170005,Aymara,16,5
113171009,Coushatta,16,5
11794009,Kenyans,13,4
12556008,Tamils,11,3
13233008,Flathead,16,5
1340002,Malays,11,3
13440006,Tanganyikans,13,4
139955009,O/E - ethnic group,0,0
139960008,O/E - ethnic group NOS,0,0
14045001,Caucasian,3,1
14176005,Danes,3,1
14470009,Tutsi,13,4
1451003,Greeks,3,1
14999008,Welsh,1,1
15086000,African American,14,4
154159009,Ethnic groups (census),0,0
154160004,White - ethnic group,1,1
154161000,White British,1,1
154162007,White Irish,2,1
154163002,Other white ethnic group,3,1
154164008,Black Caribbean,12,4
154165009,Black African,13,4
154166005,"Black, other, non-mixed origin",14,4
154167001,Black British,14,4
154168006,Black Caribbean &/or W.I. &/or Guyana,12,4
154169003,Black N African &/or Arab &/or Iranian,14,4
154170002,Black - other African country,13,4
154171003,Black E Afric Asia &/or Indo-Caribb,14,4
154172005,Black Indian sub-continent,14,4
154173000,Black - other Asian,14,4
154174006,Black Black - other,14,4
154175007,"Black - other, mixed",7,2
154176008,Other Black - Black/White orig,7,2
154177004,Other Black - Black/Asian orig,7,2
154178009,Indian,8,3
154179001,Pakistani,9,3
154180003,Bangladeshi,10,3
154181004,Chinese,15,5
154182006,Other ethnic non-mixed (NMO),16,5
154183001,Brit. ethnic minor. spec.(NMO),16,5
154184007,Brit. ethnic minor. unsp (NMO),16,5
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO),12,4
154186009,N African Arab &/or Iranian (NMO),16,5
154187000,Other African countries (NMO),13,4
154188005,E Afric Asian &/or Indo-Carib (NMO),11,3
154189002,Indian sub-continent (NMO),8,3
154190006,Other Asian (NMO),11,3
154191005,Irish (NMO),2,1
154192003,Greek &/or Greek Cypriot (NMO),3,1
154193008,Turkish &/or Turkish Cypriot (NMO),3,1
154194002,Other European (NMO),3,1
154195001,Other ethnic NEC (NMO),16,5
154196000,"Other ethnic, mixed origin",7,2
154197009,"Other ethnic, Black/White orig",7,2
154198004,"Other ethnic, Asian/White orig",6,2
154199007,"Other ethnic, mixed white orig",7,2
154200005,"Other ethnic, other mixed orig",7,2
154201009,Black Caribbean and White,4,2
154202002,Black African and White,5,2
154203007,Vietnamese,16,5
154204001,Ethnic group not given - patient refused,0,0
154205000,Ethnic group not recorded,0,0
154206004,Other black ethnic group,14,4
154207008,Other Asian ethnic group,11,3
154208003,Irish traveller,3,1
154209006,Other ethnic group,16,5
154210001,Ethnic groups (census) NOS,0,0
154211002,Ethnicity and other related nationality data,0,0
154212009,New Zealand ethnic groups,16,5
154213004,New Zealand European,3,1
154214005,Other European in New Zealand,3,1
154215006,New Zealand Maori,16,5
154216007,Samoan,16,5
154217003,Cook Island Maori,16,5
154218008,Tongan,16,5
154219000,Niuean,16,5
