snomedcode,Ethnicity,group
94051000000109,Other White or White unspecified - ethnic category 2001 census,10
9533000,Dutch,10
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,10
976691000000100,White: any other White background - England and Wales ethnic category 2011 census,10
977351000000100,White - Northern Ireland ethnic category 2011 census,10
977371000000109,Irish Traveller - Northern Ireland ethnic category 2011 census,10
977971000000108,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,10
978011000000101,White: Polish - Scotland ethnic category 2011 census,10
978031000000109,White: any other White ethnic group - Scotland ethnic category 2011 census,10
978041000000100,White: any other white ethnic group - Scotland ethnic category 2011 census,10
978021000000107,White: Polish - Scotland ethnic category 2011 census,10
413773004,Caucasian (racial group),10
977381000000106,Irish Traveller - Northern Ireland ethnic category 2011 census,10
976701000000100,White: any other white background - England and Wales ethnic category 2011 census,10
977981000000105,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,10
976681000000102,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,10
154162007,White Irish,10
154191005,Irish (NMO),10
185986006,White Irish,10
186014006,Irish (NMO),10
315237009,White Irish,10
494161000000100,White Irish - ethnic category 2001 census,10
92401000000106,Irish - ethnic category 2001 census,10
976651000000108,White: Irish - England and Wales ethnic category 2011 census,10
977951000000104,White: Irish - Scotland ethnic category 2011 census,10
976661000000106,White: Irish - England and Wales ethnic category 2011 census,10
494171000000107,White Irish - ethnic category 2001 census,10
494181000000109,White Irish - ethnic category 2001 census,10
977961000000101,White: Irish - Scotland ethnic category 2011 census,10
110761000000106,English - ethnic category 2001 census,10
14999008,Welsh,10
154160004,White - ethnic group,10
154161000,White British,10
185985005,White British,10
25804004,English,10
315236000,White British,10
401213008,White Scottish,10
401214002,Other white British ethnic group,10
41121000000107,Other white British ethnic group,10
43481000000100,Other white British ethnic group,10
44881000000100,White Scottish,10
44891000000103,Other white British ethnic group,10
494131000000105,White British - ethnic category 2001 census,10
77711000000105,Other white British ethnic group,10
82121000000108,Other white British ethnic group,10
92391000000108,British or mixed British - ethnic category 2001 census,10
92541000000108,Scottish - ethnic category 2001 census,10
92551000000106,Welsh - ethnic category 2001 census,10
92561000000109,Northern Irish - ethnic category 2001 census,10
92571000000102,Cornish - ethnic category 2001 census,10
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,10
977911000000103,White: Scottish - Scotland ethnic category 2011 census,10
977931000000106,White: other British - Scotland ethnic category 2011 census,10
977921000000109,White: Scottish - Scotland ethnic category 2011 census,10
494151000000103,White British - ethnic category 2001 census,10
976641000000105,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,10
977361000000102,White - Northern Ireland ethnic category 2011 census,10
977941000000102,White: other British - Scotland ethnic category 2011 census,10
494141000000101,White British - ethnic category 2001 census,10
