code,term,group
10008004,Ewe,1
10117001,Finns,1
1024701000000100,Ethnicity not stated,1
10292001,Guamians,1
1036211000000103,Slovak Roma,1
1036251000000104,Czech Roma,1
1036281000000105,Hungarian Roma,1
1036301000000106,Polish Roma,1
1036321000000102,Romanian Roma,1
1036341000000109,Roma,1
1036361000000105,Bulgarian Roma,1
10432001,Onge,1
107691000000105,Caribbean - ethnic category 2001 census,1
108342005,South Asian AND/OR Australian aborigine,1
110401000000103,Turkish - ethnic category 2001 census,1
110751000000108,Indian or British Indian - ethnic category 2001 census,1
110761000000106,English - ethnic category 2001 census,1
110771000000104,Black and White - ethnic category 2001 census,1
110781000000102,Sinhalese - ethnic category 2001 census,1
110791000000100,Black British - ethnic category 2001 census,1
110831000000107,Hindu - ethnic category 2001 census,1
113169009,Armenians,1
113170005,Aymara,1
113171009,Coushatta,1
11794009,Kenyans,1
12556008,Tamils,1
13233008,Flathead,1
1340002,Malays,1
13440006,Tanganyikans,1
139955009,O/E - ethnic group,1
139960008,O/E - ethnic group NOS,1
14045001,Caucasian,1
14176005,Danes,1
14470009,Tutsi,1
1451003,Greeks,1
14999008,Welsh,1
15086000,African American,1
154159009,Ethnic groups (census),1
154160004,White - ethnic group,1
154161000,White British,1
154162007,White Irish,1
154163002,Other white ethnic group,1
154164008,Black Caribbean,1
154165009,Black African,1
154166005,"Black, other, non-mixed origin",1
154167001,Black British,1
154168006,Black Caribbean &/or W.I. &/or Guyana,1
154169003,Black N African &/or Arab &/or Iranian,1
154170002,Black - other African country,1
154171003,Black E Afric Asia &/or Indo-Caribb,1
154172005,Black Indian sub-continent,1
154173000,Black - other Asian,1
154174006,Black Black - other,1
154175007,"Black - other, mixed",1
154176008,Other Black - Black/White orig,1
154177004,Other Black - Black/Asian orig,1
154178009,Indian,1
154179001,Pakistani,1
154180003,Bangladeshi,1
154181004,Chinese,1
154182006,Other ethnic non-mixed (NMO),1
