snomedcode,Ethnicity,group
32873005,Bloods,2
33182009,Trukese,2
3353005,Pueblo,2
34334001,New Caledonians,2
35007000,Utes,2
3698008,Micronesians,2
38144004,Athabascans,2
38361009,Koreans,2
38750003,Bororo,2
4073004,Palauans,2
413569000,Arab,2
414661004,Melanesian,2
41798002,Caroline Islanders,2
43056000,Cuna,2
43608005,Australian Aborigines,2
43890005,Dieguenos,2
47327008,Mexican Indians,2
48118002,Yapese,2
48294008,Solomon Islanders,2
48375000,Seminole,2
49202008,Gilbertese,2
50405005,Senoi,2
55990000,Inca,2
57539009,Navaho,2
583481000000105,Other ethnic NEC (NMO),2
592491000000104,Other New Zealand ethnic group,2
592501000000105,New Zealand ethnic group NOS,2
59487007,Syrians,2
59597001,Marshallese,2
60157000,Ellice Islanders,2
62598008,Venezuelan Indians,2
63457007,Maya,2
6373008,Choco,2
63732001,New Hebrideans,2
65776006,Blackfeet,2
661731000000107,Other Pacific ethnic group,2
66406004,Huasteco,2
666871000000107,Other ethnic group,2
66920001,Amerind,2
67931002,Aztec,2
69865008,Fijian,2
69983001,Irani,2
71949006,Chippewa,2
72337002,Brazilian Indians,2
73524008,Caingang,2
73736004,Maori,2
74159009,Melanuans,2
74302004,Apache,2
75301003,Mapuche,2
75326007,Labradors,2
75704009,Toba,2
76460008,Yanomama,2
76883002,Huichol,2
77502007,Atacamenos,2
77686000,Kwakiutl,2
79434006,Quechua,2
81560001,Tongan,2
81653003,Pehuenches,2
85515006,Eskimo,2
86275006,Samoan,2
