snomedcode,Ethnicity,group
81035008,Pakistani (Urduspeakers),7
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census,7
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,7
977711000000100,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,7
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",7
978081000000108,Asian or Asian Scottish or Asian British: Pakistani Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census,7
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,7
977721000000106,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,7
110751000000108,Indian or British Indian - ethnic category 2001 census,7
154178009,Indian,7
154189002,Indian sub-continent (NMO),7
154225001,Indian,7
186001005,Indian (East Indian),7
186012005,Indian sub-continent (NMO),7
186045005,Indian,7
64483007,Indians (Hindi-speaking),7
92641000000107,Punjabi - ethnic category 2001 census,7
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,7
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,7
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",7
977601000000109,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,7
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,7
978121000000106,Asian or Asian Scottish or Asian British: Indian Indian Scottish or Indian British - Scotland ethnic category 2011 census,7
414481008,Indian (racial group),7
110771000000104,Black and White - ethnic category 2001 census,7
154175007,"Black - other, mixed",7
154176008,Other Black - Black/White orig,7
154177004,Other Black - Black/Asian orig,7
154196000,"Other ethnic, mixed origin",7
154197009,"Other ethnic, Black/White orig",7
154199007,"Other ethnic, mixed white orig",7
154200005,"Other ethnic, other mixed orig",7
185998001,"Black - other, mixed",7
185999009,Other Black - Black/White orig,7
186000006,Other Black - Black/Asian orig,7
186019001,"Other ethnic, mixed origin",7
186022004,"Other ethnic, mixed white origin",7
186023009,"Other ethnic, other mixed origin",7
315239007,Mixed ethnic census group,7
92451000000107,Other Mixed background - ethnic category 2001 census,7
92581000000100,Black and Asian - ethnic category 2001 census,7
92591000000103,Black and Chinese - ethnic category 2001 census,7
92601000000109,Chinese and White - ethnic category 2001 census,7
92611000000106,Asian and Chinese - ethnic category 2001 census,7
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census,7
92631000000103,Mixed Asian - ethnic category 2001 census,7
92721000000106,Mixed Black - ethnic category 2001 census,7
976771000000108,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,7
976781000000105,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census,7
977551000000106,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census,7
977561000000109,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census,7
978051000000102,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census,7
978061000000104,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census,7
414752008,Mixed racial group (racial group),7
154198004,"Other ethnic, Asian/White orig",7
186021006,"Other ethnic, Asian/White origin",7
92441000000109,White and Asian - ethnic category 2001 census,7
976751000000104,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census,7
976761000000101,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census,7
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census,7
